"Participant" "Activity" "Measurement" "Average"
"1" "1" "STANDING" "tBodyAcc-mean()-X" "0.278917629056604"
"2" "1" "STANDING" "tBodyAcc-mean()-Y" "-0.0161375901037736"
"3" "1" "STANDING" "tBodyAcc-mean()-Z" "-0.110601817735849"
"4" "1" "STANDING" "tBodyAcc-std()-X" "-0.995759901509434"
"5" "1" "STANDING" "tBodyAcc-std()-Y" "-0.973190056415094"
"6" "1" "STANDING" "tBodyAcc-std()-Z" "-0.979775876981132"
"7" "1" "STANDING" "tGravityAcc-mean()-X" "0.942952000377358"
"8" "1" "STANDING" "tGravityAcc-mean()-Y" "-0.272983832264151"
"9" "1" "STANDING" "tGravityAcc-mean()-Z" "0.0134905823226415"
"10" "1" "STANDING" "tGravityAcc-std()-X" "-0.99376298509434"
"11" "1" "STANDING" "tGravityAcc-std()-Y" "-0.981225957924528"
"12" "1" "STANDING" "tGravityAcc-std()-Z" "-0.976324063584906"
"13" "1" "STANDING" "tBodyAccJerk-mean()-X" "0.0753766542264151"
"14" "1" "STANDING" "tBodyAccJerk-mean()-Y" "0.00797573092830189"
"15" "1" "STANDING" "tBodyAccJerk-mean()-Z" "-0.00368524954709434"
"16" "1" "STANDING" "tBodyAccJerk-std()-X" "-0.994604542264151"
"17" "1" "STANDING" "tBodyAccJerk-std()-Y" "-0.98564873245283"
"18" "1" "STANDING" "tBodyAccJerk-std()-Z" "-0.992251177358491"
"19" "1" "STANDING" "tBodyGyro-mean()-X" "-0.0239877347979245"
"20" "1" "STANDING" "tBodyGyro-mean()-Y" "-0.0593972209811321"
"21" "1" "STANDING" "tBodyGyro-mean()-Z" "0.074800751"
"22" "1" "STANDING" "tBodyGyro-std()-X" "-0.987191946603774"
"23" "1" "STANDING" "tBodyGyro-std()-Y" "-0.98773444"
"24" "1" "STANDING" "tBodyGyro-std()-Z" "-0.980645626981132"
"25" "1" "STANDING" "tBodyGyroJerk-mean()-X" "-0.0996092129056604"
"26" "1" "STANDING" "tBodyGyroJerk-mean()-Y" "-0.0440627877924528"
"27" "1" "STANDING" "tBodyGyroJerk-mean()-Z" "-0.0489505466716981"
"28" "1" "STANDING" "tBodyGyroJerk-std()-X" "-0.992945106981132"
"29" "1" "STANDING" "tBodyGyroJerk-std()-Y" "-0.995137917358491"
"30" "1" "STANDING" "tBodyGyroJerk-std()-Z" "-0.992108467169811"
"31" "1" "STANDING" "tBodyAccMag-mean()" "-0.984278207358491"
"32" "1" "STANDING" "tBodyAccMag-std()" "-0.981942928867925"
"33" "1" "STANDING" "tGravityAccMag-mean()" "-0.984278207358491"
"34" "1" "STANDING" "tGravityAccMag-std()" "-0.981942928867925"
"35" "1" "STANDING" "tBodyAccJerkMag-mean()" "-0.992367790566038"
"36" "1" "STANDING" "tBodyAccJerkMag-std()" "-0.993096209433962"
"37" "1" "STANDING" "tBodyGyroMag-mean()" "-0.976493792830189"
"38" "1" "STANDING" "tBodyGyroMag-std()" "-0.978690028679245"
"39" "1" "STANDING" "tBodyGyroJerkMag-mean()" "-0.994966790566038"
"40" "1" "STANDING" "tBodyGyroJerkMag-std()" "-0.994733238679245"
"41" "1" "STANDING" "fBodyAcc-mean()-X" "-0.995249932641509"
"42" "1" "STANDING" "fBodyAcc-mean()-Y" "-0.977070847735849"
"43" "1" "STANDING" "fBodyAcc-mean()-Z" "-0.985297098679245"
"44" "1" "STANDING" "fBodyAcc-std()-X" "-0.99602834509434"
"45" "1" "STANDING" "fBodyAcc-std()-Y" "-0.972293102075472"
"46" "1" "STANDING" "fBodyAcc-std()-Z" "-0.977937259622642"
"47" "1" "STANDING" "fBodyAccJerk-mean()-X" "-0.994630797358491"
"48" "1" "STANDING" "fBodyAccJerk-mean()-Y" "-0.985418704528302"
"49" "1" "STANDING" "fBodyAccJerk-mean()-Z" "-0.990752166037736"
"50" "1" "STANDING" "fBodyAccJerk-std()-X" "-0.995073759245283"
"51" "1" "STANDING" "fBodyAccJerk-std()-Y" "-0.987018226792453"
"52" "1" "STANDING" "fBodyAccJerk-std()-Z" "-0.992349818113208"
"53" "1" "STANDING" "fBodyGyro-mean()-X" "-0.986386786037736"
"54" "1" "STANDING" "fBodyGyro-mean()-Y" "-0.988984455849057"
"55" "1" "STANDING" "fBodyGyro-mean()-Z" "-0.980773122830189"
"56" "1" "STANDING" "fBodyGyro-std()-X" "-0.987497128679245"
"57" "1" "STANDING" "fBodyGyro-std()-Y" "-0.987107727735849"
"58" "1" "STANDING" "fBodyGyro-std()-Z" "-0.98234533"
"59" "1" "STANDING" "fBodyAccMag-mean()" "-0.985356361132075"
"60" "1" "STANDING" "fBodyAccMag-std()" "-0.982313804716981"
"61" "1" "STANDING" "fBodyBodyAccJerkMag-mean()" "-0.99254247754717"
"62" "1" "STANDING" "fBodyBodyAccJerkMag-std()" "-0.992536003396226"
"63" "1" "STANDING" "fBodyBodyGyroMag-mean()" "-0.984617623396226"
"64" "1" "STANDING" "fBodyBodyGyroMag-std()" "-0.978466072075472"
"65" "1" "STANDING" "fBodyBodyGyroJerkMag-mean()" "-0.994815376981132"
"66" "1" "STANDING" "fBodyBodyGyroJerkMag-std()" "-0.994671123207547"
"67" "1" "SITTING" "tBodyAcc-mean()-X" "0.261237565425532"
"68" "1" "SITTING" "tBodyAcc-mean()-Y" "-0.00130828765170213"
"69" "1" "SITTING" "tBodyAcc-mean()-Z" "-0.104544182255319"
"70" "1" "SITTING" "tBodyAcc-std()-X" "-0.977229008297872"
"71" "1" "SITTING" "tBodyAcc-std()-Y" "-0.922618641914894"
"72" "1" "SITTING" "tBodyAcc-std()-Z" "-0.93958629106383"
"73" "1" "SITTING" "tGravityAcc-mean()-X" "0.831509933404255"
"74" "1" "SITTING" "tGravityAcc-mean()-Y" "0.204411592680851"
"75" "1" "SITTING" "tGravityAcc-mean()-Z" "0.332043702765957"
"76" "1" "SITTING" "tGravityAcc-std()-X" "-0.968457145744681"
"77" "1" "SITTING" "tGravityAcc-std()-Y" "-0.935517055957447"
"78" "1" "SITTING" "tGravityAcc-std()-Z" "-0.949040933191489"
"79" "1" "SITTING" "tBodyAccJerk-mean()-X" "0.0774825199574468"
"80" "1" "SITTING" "tBodyAccJerk-mean()-Y" "-0.000619102785106384"
"81" "1" "SITTING" "tBodyAccJerk-mean()-Z" "-0.00336779235021277"
"82" "1" "SITTING" "tBodyAccJerk-std()-X" "-0.986430711276596"
